ingredient,limit,unit,cycle_on,cycle_off,notes
Allicin extract,1000,mg,0,0,
Alpha lipoic acid,600.0,mg,0,0,
Alpha Lipoic Acid,600.0,mg,0,0,
Alpha-Ketoglutarate,12.0,mg,0,0,
Amylase,15.0,mg,0,0,
Arjuna,20.0,mg,0,0,
Artichoke (Cynara scolymus L.) extract (leaf)	%,1000,mg,6,8,
Artichoke (cynarins),2000,mg,2,1,
B12 Vitamin  (Methylcobalamin),1000,mcg,0,0,
B6 Vitamin,100,mg,0,0,
Biotin,1000,mcg,0,0,
Broccoli (Brassica oleracea italica),115,mg,0,0,
Broccoli (sulforaphane),15,mg,0,0,
Calcium,2000,mg,0,0,
Calcium D-Glucarate,2000,mg,3,1,
Chlorella,6000,mg,8,8,
Chlorophyllin,300,mg,12,4,
Citrius Sinensisi Fruit,500,mg,0,0,
DHA (Docosahexaenoic Acid),1000,mg,0,0,
DMAE Bitrate,1200,mg,3,1,
Eleutherococcus Senticosus Root Extract,2000,mg,6,2,
EPA (Eicosapentaenoic Acid),1000,mg,0,0,
Folate,1,mg,0,0,
Gingko Biloba,240,mg,8,2,
Glycine,5,g,0,0,
Hawthorn Berry,900,mg,16,4,
Huperzine A,200,mcg,4,2,
L-Arginine,6,g,0,0,
L-Glutamine,14,g,0,0,
L-Glutathione,2000,g,12,2,
L-Histidine,4,g,0,0,
L-Leucine,2000,g,0,0,
L-Lysine,3000,mg,0,0,
L-Methionine,300,mg,0,0,
L-Ornithine,500,mg,4,2,
L-Phenylalaine,200,mg,0,0,
L-Threonine,5,g,0,0,
lactobacillus acidophilus,10,cfu,0,0,
Lactobacillus rhamnosus,10,cfu,0,0,
Madagascar Periwinkle,0,mg,0,0,No safe dose
Maganese,11,mg,0,0,
Magnesium,25.0,mg,0,0,
Methylsulfonylmethane (MSM),4000,mg,0,0,
Milk thistle,420,mg,12,4,
N-Acetyl L-Cysteine (NAC),1200,mg,0,0,
Niacin,35,mg,0,0,
Night Blooming Cerus,3,oz,0,0,
Pantothenic Acid,500,mg,0,0,
Papain,100,mg,0,0,
Papaya Fruit,300,G,0,0,
Passion flower,800,mg,0,0,
Phosphorus,500,mg,0,0,
Potassium,3900,mg,0,0,
Protease,20,mg,0,0,
R-alpha Lipoic Acid,1000,mg,0,0,
Rauwolfia,10,mg,0,0,Unsafe for long term use
Rhodiola Rosea Root Extract,500,mg,8,2,
Riboflavin,100,mg,0,0,
Shankhpushpi,3,G,0,0,
Taurine,3000,mg,0,0,
Thiamin,50,mg,0,0,
Trans-Geranylgeraniol,300,mg,0,0,
Tribulus,1000,mg,12,6,
Turmeric,1000,mg,12,2,
Vitamin C,2000,mg,0,0,
Vitamin D,50,mg,0,0,
Vitamin E,1000,mg,0,0,
Vitamin K,100,mcg,0,0,
